transaction_id,user_id,timestamp,amount,latitude,longitude,device_id,ip_address,merchant_category,transaction_type,payment_channel,receiver_user_id,receiver_risk_category,device_os,app_version,network_type,failed_attempts_last_10_min,session_id,battery_level,is_international_ip,home_latitude,home_longitude,registered_device_id,avg_transaction_amount,max_transaction_amount,risk_category,account_creation_date,kyc_status,daily_transaction_limit,usual_login_time_start,usual_login_time_end,avg_transactions_per_day,registered_city,sim_registered,account_status,last_device_change_date,linked_bank_count,hour,is_night,high_amount,small_transaction
TXN_1,USER_73,2026-02-17 09:03:23,94193,31.215471,86.501705,IZAJAKHFN7,182.95.55.197,Electronics,P2P,Collect,USER_10,High,iOS,2.2,WiFi,1,L50DXGAPP01R,14,No,8.242088,73.131873,9LCN4I06PU,1163,20960,Medium,2022-04-13,Min,58340,8:00,19:00,20,Kolkata,Yes,Dormant,2023-04-04,4,9,False,True,False
TXN_2,USER_316,2026-02-14 08:21:23,89218,31.373214,86.816937,PYKSGWQ63R,198.231.157.247,Electronics,P2P,QR,USER_356,Medium,iOS,2.0,MobileData,1,83E3RGOPSIRU,71,Yes,18.360852,85.500102,1RCNYFGVTZ,3007,40884,High,2022-03-14,Min,39059,6:00,21:00,1,Kolkata,Yes,Dormant,2024-07-22,3,8,False,True,False
TXN_3,USER_365,2026-02-16 13:31:23,75030,10.569091,92.044373,K2ENKPZ94Z,3.207.242.10,Travel,P2P,Intent,USER_323,Low,Android,4.9,VPN,1,BTZF6EQ8VDH5,99,Yes,9.751273,96.503635,99JK6U72Y9,2367,19767,Medium,2022-05-29,Min,130653,8:00,20:00,13,Kolkata,Yes,Active,2023-03-07,4,13,False,True,False
TXN_4,USER_307,2026-02-18 03:10:23,56788,24.748624,95.238395,AFMC79EWK1,4.110.6.10,Utilities,Merchant,UPI,USER_234,High,Android,1.2,MobileData,1,31KS2G65YPMH,90,No,29.357793,76.966528,XEJ8Y4CXSO,1795,36343,Low,2020-10-17,Full,107635,7:00,20:00,13,Chennai,Yes,Dormant,2023-04-15,3,3,True,True,False
TXN_5,USER_27,2026-02-17 14:36:23,12385,29.839091,74.400025,0E8VL2C9H0,9.58.209.145,Utilities,P2P,QR,USER_466,Medium,iOS,1.2,WiFi,5,A8N0VXP7PSRZ,73,No,34.089884,86.905654,U8QATI04XK,4864,7471,Medium,2024-11-28,Pending,77179,7:00,21:00,19,Delhi,Yes,Active,2027-04-17,4,14,False,True,False
TXN_6,USER_73,2026-02-15 09:28:23,1563,28.223569,79.636995,LEDLH4I9JV,213.208.215.175,Electronics,P2P,Intent,USER_128,High,Android,5.9,WiFi,1,8YOTQOY29IVW,99,Yes,8.242088,73.131873,9LCN4I06PU,1163,20960,Medium,2022-04-13,Min,58340,8:00,19:00,20,Kolkata,Yes,Dormant,2023-04-04,4,9,False,False,True
TXN_7,USER_61,2026-02-18 19:46:23,72016,24.232074,71.234391,7SW54X4W7I,226.65.232.58,Food,P2P,Intent,USER_384,High,Android,2.1,WiFi,2,8OIOETZK4T5F,10,No,11.798147,77.135667,OLAYXV2ZMP,3701,23513,High,2021-03-05,Min,44902,8:00,18:00,18,Hyderabad,Yes,Dormant,2021-12-20,3,19,False,True,False
TXN_8,USER_414,2026-02-17 01:45:23,20929,15.127094,91.94758,SSV4JTSUL7,153.249.78.91,Shopping,Merchant,Collect,USER_44,Low,Android,1.3,MobileData,3,WW4ID3B4FXPU,71,No,10.699461,74.140813,N9Z3PCW5Q6,1559,10181,Low,2022-03-01,Min,149064,9:00,19:00,20,Kolkata,No,Dormant,2024-06-05,4,1,True,True,False
TXN_9,USER_238,2026-02-18 06:56:23,96500,33.365553,81.579124,W97D6IWDZ7,98.202.218.181,Food,Merchant,Collect,USER_406,Medium,Android,1.2,MobileData,3,4XYPSFI3300E,92,No,21.476529,75.759541,46I8VTR3FM,608,19166,Low,2024-09-27,Min,38337,6:00,23:00,20,Mumbai,Yes,Dormant,2026-09-29,4,6,False,True,False
TXN_10,USER_61,2026-02-18 15:18:23,29190,24.493077,94.164805,HN77P76EDJ,60.153.214.83,Food,P2P,UPI,USER_475,Medium,iOS,5.8,MobileData,1,ITZZMDNUYVNY,81,Yes,11.798147,77.135667,OLAYXV2ZMP,3701,23513,High,2021-03-05,Min,44902,8:00,18:00,18,Hyderabad,Yes,Dormant,2021-12-20,3,15,False,True,False
